FG,FGA,3P,3PA,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Games Played
2184,4697,683,1901,1600,2255,1295,392,217,639,938,6055,488
2207,4620,829,2192,1866,2421,1327,327,337,610,871,6140,529
2067,4473,682,1863,1633,2219,1317,334,261,580,937,5609,494
2117,4550,597,1672,1650,2213,1247,399,273,606,978,5682,517
2037,4474,597,1667,1527,2046,1266,329,242,646,969,5430,521
2041,4263,632,1771,1643,2164,1283,369,220,623,898,5487,483
2132,4489,756,2028,1575,2074,1264,329,212,601,957,5912,553
2232,4521,587,1586,1686,2249,1465,344,276,589,953,5854,565
2131,4460,543,1522,1620,2191,1314,295,243,759,1095,5686,526
2027,4289,706,1877,1593,2172,1339,310,190,654,975,5599,510
2084,4494,599,1702,1733,2268,1254,372,220,613,1070,5685,540
2523,5021,738,1954,1693,2283,1642,434,354,702,1280,6707,623
2121,4303,682,1716,1663,2171,1323,424,261,602,949,5828,518
2224,4531,575,1572,1802,2238,1452,407,291,709,862,6020,532
1963,4492,694,2001,1627,2135,1274,390,308,712,997,5438,535
2016,4335,631,1682,1655,2146,1295,371,165,625,932,5631,503
2266,4566,723,1920,1765,2244,1358,347,267,637,1037,6291,562
2096,4293,635,1621,1773,2235,1339,380,298,725,997,5769,543
2143,4393,602,1595,1670,2215,1341,411,236,634,967,5823,538
2200,4698,704,1870,1740,2342,1334,361,180,641,927,6089,521
2275,4541,678,1729,1667,2110,1391,417,339,596,995,6159,607
2061,4395,547,1590,1625,2187,1257,417,265,701,1076,5673,575
1974,4167,504,1413,1436,1916,1136,387,258,523,934,5533,521
2173,4363,606,1603,1699,2205,1351,372,300,714,946,5981,549
1981,4495,603,1697,1480,2078,1137,391,229,696,1018,5433,529
2141,4452,730,1974,1613,2116,1407,353,196,620,981,5806,576
2142,4654,637,1866,1694,2218,1497,368,307,731,935,5721,577
2138,4412,559,1577,1600,2212,1397,388,257,632,934,5637,536
2224,4711,687,1919,1764,2425,1478,346,310,786,1006,6129,571
2150,4543,612,1745,1568,2011,1405,385,282,657,1000,5713,597
